state,rank,town,water_body,waterfront_type,tier
New York,4,Sag Harbor,Gardiners Bay,bay,1
New York,5,Cooperstown,Otsego Lake,lake,1
New York,6,Skaneateles,Skaneateles Lake,lake,1
New York,7,Alexandria Bay,St. Lawrence River,river,1
New York,8,Ithaca,Cayuga Lake,lake,1
New York,9,Watkins Glen,Seneca Lake,lake,1
New York,10,Canandaigua,Canandaigua Lake,lake,1
New York,11,Saranac Lake,Lake Flower,lake,1
New York,12,Bolton Landing,Lake George,lake,1
New York,13,Old Forge,Fulton Chain Lakes,lake,1
New York,14,Niagara Falls,Niagara River,river,1
New York,15,Greenport,Peconic Bay,bay,1
New York,16,Cold Spring,Hudson River,river,1
New York,17,Hudson,Hudson River,river,2
New York,18,Geneva,Seneca Lake,lake,2
New York,19,Hammondsport,Keuka Lake,lake,2
New York,20,Sackets Harbor,Lake Ontario,great_lake,2
New York,21,Clayton,St. Lawrence River,river,2
New York,22,Saugerties,Hudson River,river,2
New York,23,Kingston,Hudson River,river,2
New York,24,Nyack,Hudson River,river,2
New York,25,Essex,Lake Champlain,lake,2
New Jersey,1,Cape May,Atlantic Ocean,ocean,1
New Jersey,2,Ocean City,Atlantic Ocean,ocean,1
New Jersey,3,Asbury Park,Atlantic Ocean,ocean,1
New Jersey,4,Spring Lake,Atlantic Ocean,ocean,1
New Jersey,5,Stone Harbor,Atlantic Ocean,ocean,1
New Jersey,6,Avalon,Atlantic Ocean,ocean,1
New Jersey,7,Wildwood,Atlantic Ocean,ocean,1
New Jersey,8,Atlantic City,Atlantic Ocean,ocean,1
New Jersey,9,Beach Haven,Atlantic Ocean,ocean,1
New Jersey,10,Point Pleasant Beach,Atlantic Ocean,ocean,1
New Jersey,11,Lambertville,Delaware River,river,1
New Jersey,12,Sea Isle City,Atlantic Ocean,ocean,2
New Jersey,13,Ocean Grove,Atlantic Ocean,ocean,2
New Jersey,14,Bay Head,Atlantic Ocean,ocean,2
New Jersey,15,Manasquan,Atlantic Ocean,ocean,2
New Jersey,16,Belmar,Atlantic Ocean,ocean,2
New Jersey,17,Highlands,Sandy Hook Bay,bay,2
New Jersey,18,Atlantic Highlands,Sandy Hook Bay,bay,2
New Jersey,19,Red Bank,Navesink River,river,2
New Jersey,20,Frenchtown,Delaware River,river,2
New Jersey,21,Barnegat Light,Atlantic Ocean,ocean,2
New Jersey,22,Margate City,Atlantic Ocean,ocean,2
New Jersey,23,Hopatcong,Lake Hopatcong,lake,2
New Jersey,24,Milford,Delaware River,river,3
New Jersey,25,Somers Point,Great Egg Harbor Bay,bay,3
Pennsylvania,1,Erie,Lake Erie,great_lake,1
Pennsylvania,2,Jim Thorpe,Lehigh River,river,1
Pennsylvania,3,New Hope,Delaware River,river,1
Pennsylvania,4,Ohiopyle,Youghiogheny River,river,1
Pennsylvania,5,Pittsburgh,Allegheny River,river,1
Pennsylvania,6,Hawley,Lake Wallenpaupack,reservoir,2
Pennsylvania,7,Milford,Delaware River,river,2
Pennsylvania,8,North East,Lake Erie,great_lake,2
Pennsylvania,9,Warren,Allegheny River,river,2
Pennsylvania,10,Confluence,Youghiogheny River,river,2
Pennsylvania,11,Wellsboro,Pine Creek,river,2
Pennsylvania,12,Williamsport,Susquehanna River,river,2
Pennsylvania,13,Harrisburg,Susquehanna River,river,2
Pennsylvania,14,Easton,Delaware River,river,2
Pennsylvania,15,Huntingdon,Raystown Lake,reservoir,2
Pennsylvania,16,Conneaut Lake,Conneaut Lake,lake,2
Pennsylvania,17,Harveys Lake,Harveys Lake,lake,2
Pennsylvania,18,Lake Harmony,Lake Harmony,lake,2
Pennsylvania,19,Tionesta,Allegheny River,river,3
Pennsylvania,20,Franklin,Allegheny River,river,3
Pennsylvania,21,Edinboro,Edinboro Lake,lake,3
Pennsylvania,22,Wrightsville,Susquehanna River,river,3
Pennsylvania,23,Columbia,Susquehanna River,river,3
Pennsylvania,24,Marietta,Susquehanna River,river,3
Pennsylvania,25,Lewisburg,Susquehanna River,river,3
Delaware,1,Rehoboth Beach,Atlantic Ocean,ocean,1
Delaware,2,Lewes,Delaware Bay,bay,1
Delaware,3,Bethany Beach,Atlantic Ocean,ocean,1
Delaware,4,Dewey Beach,Atlantic Ocean,ocean,1
Delaware,5,Fenwick Island,Atlantic Ocean,ocean,1
Delaware,6,Milton,Broadkill River,river,2
Delaware,7,Milford,Mispillion River,river,2
Delaware,8,New Castle,Delaware River,river,2
Delaware,9,Delaware City,Delaware River,river,2
Delaware,10,Wilmington,Christina River,river,2
Delaware,11,Millsboro,Indian River,river,2
Delaware,12,Long Neck,Rehoboth Bay,bay,2
Delaware,13,Ocean View,Assawoman Bay,bay,2
Delaware,14,Bowers Beach,Delaware Bay,bay,2
Delaware,15,Slaughter Beach,Delaware Bay,bay,2
Delaware,16,Seaford,Nanticoke River,river,3
Delaware,17,Laurel,Broad Creek,river,3
Delaware,18,Bethel,Broad Creek,river,3
Delaware,19,Odessa,Appoquinimink River,river,3
Delaware,20,Smyrna,Lake Como,lake,3
Delaware,21,Frederica,Murderkill River,river,3
Delaware,22,Little Creek,Little Creek,river,3
Delaware,23,Port Penn,Delaware River,river,3
Delaware,24,Dagsboro,Pepper Creek,river,3
Delaware,25,Oak Orchard,Indian River Bay,bay,3
Maryland,1,Annapolis,Chesapeake Bay,bay,1
Maryland,2,St. Michaels,Miles River,river,1
Maryland,3,Ocean City,Atlantic Ocean,ocean,1
Maryland,4,Baltimore,Patapsco River,river,1
Maryland,5,Solomons,Patuxent River,river,2
Maryland,6,Havre de Grace,Susquehanna River,river,2
Maryland,7,Cambridge,Choptank River,river,2
Maryland,8,Chestertown,Chester River,river,2
Maryland,9,Rock Hall,Chesapeake Bay,bay,2
Maryland,10,Oxford,Tred Avon River,river,2
Maryland,11,McHenry,Deep Creek Lake,reservoir,2
Maryland,12,Chesapeake City,Chesapeake & Delaware Canal,river,2
Maryland,13,Tilghman Island,Chesapeake Bay,bay,2
Maryland,14,Grasonville,Kent Narrows,bay,2
Maryland,15,Chesapeake Beach,Chesapeake Bay,bay,2
Maryland,16,North Beach,Chesapeake Bay,bay,2
Maryland,17,Crisfield,Tangier Sound,sound,2
Maryland,18,Ewell,Chesapeake Bay,bay,2
Maryland,19,Leonardtown,Breton Bay,bay,2
Maryland,20,St. Mary's City,St. Mary's River,river,2
Maryland,21,Snow Hill,Pocomoke River,river,2
Maryland,22,North East,North East River,river,2
Maryland,23,Betterton,Chesapeake Bay,bay,3
Maryland,24,Deale,Chesapeake Bay,bay,3
Maryland,25,Galesville,West River,river,3
Virginia,1,Virginia Beach,Atlantic Ocean,ocean,1
Virginia,2,Chincoteague,Chincoteague Bay,bay,1
Virginia,3,Cape Charles,Chesapeake Bay,bay,1
Virginia,4,Alexandria,Potomac River,river,1
Virginia,5,Yorktown,York River,river,1
Virginia,6,Norfolk,Elizabeth River,river,2
Virginia,7,Onancock,Onancock Creek,river,2
Virginia,8,Irvington,Rappahannock River,river,2
Virginia,9,Urbanna,Rappahannock River,river,2
Virginia,10,Colonial Beach,Potomac River,river,2
Virginia,11,Tangier,Chesapeake Bay,bay,2
Virginia,12,Reedville,Great Wicomico River,river,2
Virginia,13,Smithfield,Pagan River,river,2
Virginia,14,Deltaville,Chesapeake Bay,bay,2
Virginia,15,Occoquan,Occoquan River,river,2
Virginia,16,Hampton,Hampton Roads,bay,2
Virginia,17,Portsmouth,Elizabeth River,river,2
Virginia,18,Richmond,James River,river,2
Virginia,19,Fredericksburg,Rappahannock River,river,2
Virginia,20,Front Royal,Shenandoah River,river,2
Virginia,21,Moneta,Smith Mountain Lake,reservoir,2
Virginia,22,Radford,New River,river,2
Virginia,23,Damascus,Laurel Creek,river,3
Virginia,24,Scottsville,James River,river,3
Virginia,25,Mathews,Mobjack Bay,bay,3
West Virginia,1,Harpers Ferry,Potomac River,river,1
West Virginia,2,Fayetteville,New River,river,1
West Virginia,3,Shepherdstown,Potomac River,river,2
West Virginia,4,Hinton,New River,river,2
West Virginia,5,Summersville,Summersville Lake,reservoir,2
West Virginia,6,Marlinton,Greenbrier River,river,2
West Virginia,7,Cass,Greenbrier River,river,2
West Virginia,8,Morgantown,Cheat Lake,reservoir,2
West Virginia,9,Weston,Stonewall Jackson Lake,reservoir,2
West Virginia,10,Petersburg,South Branch Potomac River,river,2
West Virginia,11,Seneca Rocks,North Fork South Branch Potomac,river,2
West Virginia,12,Ansted,New River,river,2
West Virginia,13,Point Pleasant,Ohio River,river,2
West Virginia,14,Parkersburg,Ohio River,river,2
West Virginia,15,Wheeling,Ohio River,river,2
West Virginia,16,Charleston,Kanawha River,river,2
West Virginia,17,Grafton,Tygart Lake,reservoir,3
West Virginia,18,Philippi,Tygart Valley River,river,3
West Virginia,19,Sutton,Sutton Lake,reservoir,3
West Virginia,20,Parsons,Cheat River,river,3
West Virginia,21,Rowlesburg,Cheat River,river,3
West Virginia,22,Alderson,Greenbrier River,river,3
West Virginia,23,Ronceverte,Greenbrier River,river,3
West Virginia,24,Webster Springs,Elk River,river,3
West Virginia,25,Sistersville,Ohio River,river,3
North Carolina,1,Ocracoke,Atlantic Ocean,ocean,1
North Carolina,2,Manteo,Roanoke Sound,sound,1
North Carolina,3,Duck,Atlantic Ocean,ocean,1
North Carolina,4,Corolla,Atlantic Ocean,ocean,1
North Carolina,5,Nags Head,Atlantic Ocean,ocean,1
North Carolina,6,Hatteras,Atlantic Ocean,ocean,1
North Carolina,7,Kill Devil Hills,Atlantic Ocean,ocean,1
North Carolina,8,Beaufort,Taylor Creek,river,1
North Carolina,9,Wilmington,Cape Fear River,river,1
North Carolina,10,Wrightsville Beach,Atlantic Ocean,ocean,1
North Carolina,11,Southport,Cape Fear River,river,1
North Carolina,12,New Bern,Neuse River,river,1
North Carolina,13,Lake Lure,Lake Lure,reservoir,1
North Carolina,14,Edenton,Albemarle Sound,sound,2
North Carolina,15,Oriental,Neuse River,river,2
North Carolina,16,Chimney Rock,Broad River,river,2
North Carolina,17,Bryson City,Tuckasegee River,river,2
North Carolina,18,Carolina Beach,Atlantic Ocean,ocean,2
North Carolina,19,Emerald Isle,Atlantic Ocean,ocean,2
North Carolina,20,Atlantic Beach,Atlantic Ocean,ocean,2
North Carolina,21,Swansboro,White Oak River,river,2
North Carolina,22,Washington,Pamlico River,river,2
North Carolina,23,Elizabeth City,Pasquotank River,river,2
North Carolina,24,Ocean Isle Beach,Atlantic Ocean,ocean,2
North Carolina,25,Bath,Pamlico River,river,2
South Carolina,1,Charleston,Charleston Harbor,bay,1
South Carolina,2,Beaufort,Beaufort River,river,1
South Carolina,3,Hilton Head Island,Atlantic Ocean,ocean,1
South Carolina,4,Folly Beach,Atlantic Ocean,ocean,1
South Carolina,5,Isle of Palms,Atlantic Ocean,ocean,1
South Carolina,6,Sullivan's Island,Atlantic Ocean,ocean,1
South Carolina,7,Kiawah Island,Atlantic Ocean,ocean,1
South Carolina,8,Pawleys Island,Atlantic Ocean,ocean,1
South Carolina,9,Murrells Inlet,Atlantic Ocean,ocean,1
South Carolina,10,Myrtle Beach,Atlantic Ocean,ocean,1
South Carolina,11,North Myrtle Beach,Atlantic Ocean,ocean,1
South Carolina,12,Edisto Beach,Atlantic Ocean,ocean,2
South Carolina,13,Bluffton,May River,river,2
South Carolina,14,Mount Pleasant,Charleston Harbor,bay,2
South Carolina,15,Port Royal,Battery Creek,river,2
South Carolina,16,Georgetown,Winyah Bay,bay,2
South Carolina,17,Seabrook Island,Atlantic Ocean,ocean,2
South Carolina,18,Surfside Beach,Atlantic Ocean,ocean,2
South Carolina,19,Garden City,Atlantic Ocean,ocean,2
South Carolina,20,Little River,Intracoastal Waterway,river,2
South Carolina,21,Conway,Waccamaw River,river,2
South Carolina,22,Clemson,Lake Hartwell,reservoir,2
South Carolina,23,Seneca,Lake Keowee,reservoir,2
South Carolina,24,Santee,Lake Marion,reservoir,2
South Carolina,25,Chapin,Lake Murray,reservoir,2
Georgia,1,Savannah,Savannah River,river,1
Georgia,2,Tybee Island,Atlantic Ocean,ocean,1
Georgia,3,St. Simons Island,Atlantic Ocean,ocean,1
Georgia,4,Jekyll Island,Atlantic Ocean,ocean,1
Georgia,5,Helen,Chattahoochee River,river,1
Georgia,6,Blue Ridge,Toccoa River,river,2
Georgia,7,St. Marys,St. Marys River,river,2
Georgia,8,Darien,Darien River,river,2
Georgia,9,Brunswick,Brunswick River,river,2
Georgia,10,Sea Island,Atlantic Ocean,ocean,2
Georgia,11,Tallulah Falls,Tallulah River,river,2
Georgia,12,Lakemont,Lake Rabun,reservoir,2
Georgia,13,Hiawassee,Lake Chatuge,reservoir,2
Georgia,14,Blairsville,Lake Nottely,reservoir,2
Georgia,15,McCaysville,Toccoa River,river,2
Georgia,16,Ellijay,Coosawattee River,river,2
Georgia,17,Gainesville,Lake Lanier,reservoir,2
Georgia,18,Buford,Lake Lanier,reservoir,2
Georgia,19,Eatonton,Lake Oconee,reservoir,2
Georgia,20,Greensboro,Lake Oconee,reservoir,2
Georgia,21,Milledgeville,Lake Sinclair,reservoir,2
Georgia,22,Columbus,Chattahoochee River,river,2
Georgia,23,Augusta,Savannah River,river,2
Georgia,24,Bainbridge,Flint River,river,3
Georgia,25,Cumming,Lake Lanier,reservoir,3
Florida,1,Key West,Gulf of Mexico,gulf,1
Florida,2,St. Augustine,Matanzas River,river,1
Florida,3,Naples,Gulf of Mexico,gulf,1
Florida,4,Sanibel,Gulf of Mexico,gulf,1
Florida,5,Islamorada,Atlantic Ocean,ocean,1
Florida,6,Destin,Gulf of Mexico,gulf,1
Florida,7,Apalachicola,Apalachicola Bay,bay,1
Florida,8,Cedar Key,Gulf of Mexico,gulf,1
Florida,9,Anna Maria,Gulf of Mexico,gulf,1
Florida,10,Dunedin,St. Joseph Sound,sound,1
Florida,11,Tarpon Springs,Anclote River,river,1
Florida,12,Fernandina Beach,Atlantic Ocean,ocean,1
Florida,13,Mount Dora,Lake Dora,lake,1
Florida,14,Crystal River,Crystal River,river,1
Florida,15,Seaside,Gulf of Mexico,gulf,1
Florida,16,Pensacola,Pensacola Bay,bay,1
Florida,17,St. Pete Beach,Gulf of Mexico,gulf,1
Florida,18,Clearwater Beach,Gulf of Mexico,gulf,1
Florida,19,Sarasota,Sarasota Bay,bay,1
Florida,20,Boca Grande,Gulf of Mexico,gulf,1
Florida,21,Key Largo,Atlantic Ocean,ocean,1
Florida,22,New Smyrna Beach,Atlantic Ocean,ocean,1
Florida,23,Delray Beach,Atlantic Ocean,ocean,1
Florida,24,Stuart,St. Lucie River,river,2
Florida,25,Marathon,Atlantic Ocean,ocean,2
Alabama,1,Gulf Shores,Gulf of Mexico,gulf,1
Alabama,2,Orange Beach,Gulf of Mexico,gulf,1
Alabama,3,Fairhope,Mobile Bay,bay,1
Alabama,4,Dauphin Island,Gulf of Mexico,gulf,2
Alabama,5,Point Clear,Mobile Bay,bay,2
Alabama,6,Daphne,Mobile Bay,bay,2
Alabama,7,Mobile,Mobile River,river,2
Alabama,8,Magnolia Springs,Magnolia River,river,2
Alabama,9,Guntersville,Lake Guntersville,reservoir,2
Alabama,10,Florence,Tennessee River,river,2
Alabama,11,Eufaula,Lake Eufaula,reservoir,2
Alabama,12,Alexander City,Lake Martin,reservoir,2
Alabama,13,Dadeville,Lake Martin,reservoir,2
Alabama,14,Wetumpka,Coosa River,river,2
Alabama,15,Centre,Weiss Lake,reservoir,3
Alabama,16,Scottsboro,Lake Guntersville,reservoir,3
Alabama,17,Decatur,Wheeler Lake,reservoir,3
Alabama,18,Muscle Shoals,Tennessee River,river,3
Alabama,19,Sheffield,Tennessee River,river,3
Alabama,20,Rogersville,Wheeler Lake,reservoir,3
Alabama,21,Jasper,Lewis Smith Lake,reservoir,3
Alabama,22,Cullman,Lewis Smith Lake,reservoir,3
Alabama,23,Demopolis,Tombigbee River,river,3
Alabama,24,Montgomery,Alabama River,river,3
Alabama,25,Bayou La Batre,Mississippi Sound,sound,3
Mississippi,1,Bay St. Louis,Mississippi Sound,sound,1
Mississippi,2,Ocean Springs,Mississippi Sound,sound,1
Mississippi,3,Natchez,Mississippi River,river,1
Mississippi,4,Biloxi,Mississippi Sound,sound,1
Mississippi,5,Vicksburg,Mississippi River,river,2
Mississippi,6,Gulfport,Mississippi Sound,sound,2
Mississippi,7,Pass Christian,Mississippi Sound,sound,2
Mississippi,8,Iuka,Pickwick Lake,reservoir,2
Mississippi,9,Ridgeland,Ross Barnett Reservoir,reservoir,2
Mississippi,10,Long Beach,Mississippi Sound,sound,3
Mississippi,11,Waveland,Mississippi Sound,sound,3
Mississippi,12,Pascagoula,Pascagoula River,river,3
Mississippi,13,Gautier,Mississippi Sound,sound,3
Mississippi,14,D'Iberville,Back Bay of Biloxi,bay,3
Mississippi,15,Greenville,Lake Ferguson,lake,3
Mississippi,16,Rosedale,Mississippi River,river,3
Mississippi,17,Tunica,Mississippi River,river,3
Mississippi,18,Grenada,Grenada Lake,reservoir,3
Mississippi,19,Sardis,Sardis Lake,reservoir,3
Mississippi,20,Enid,Enid Lake,reservoir,3
Mississippi,21,Hernando,Arkabutla Lake,reservoir,3
Mississippi,22,Columbus,Tennessee-Tombigbee Waterway,river,3
Mississippi,23,Aberdeen,Tennessee-Tombigbee Waterway,river,3
Mississippi,24,Madison,Ross Barnett Reservoir,reservoir,3
Mississippi,25,Meridian,Okatibbee Lake,reservoir,3
Louisiana,1,New Orleans,Mississippi River,river,1
Louisiana,2,Natchitoches,Cane River Lake,lake,1
Louisiana,3,Mandeville,Lake Pontchartrain,lake,2
Louisiana,4,Madisonville,Tchefuncte River,river,2
Louisiana,5,Breaux Bridge,Bayou Teche,river,2
Louisiana,6,St. Martinville,Bayou Teche,river,2
Louisiana,7,New Iberia,Bayou Teche,river,2
Louisiana,8,Henderson,Atchafalaya Basin,river,2
Louisiana,9,Grand Isle,Gulf of Mexico,gulf,2
Louisiana,10,St. Francisville,Mississippi River,river,2
Louisiana,11,Lake Charles,Lake Charles,lake,2
Louisiana,12,Covington,Bogue Falaya River,river,2
Louisiana,13,Slidell,Lake Pontchartrain,lake,2
Louisiana,14,Baton Rouge,Mississippi River,river,2
Louisiana,15,Many,Toledo Bend Reservoir,reservoir,2
Louisiana,16,Venice,Mississippi River,river,2
Louisiana,17,Lafitte,Bayou Barataria,river,2
Louisiana,18,Morgan City,Atchafalaya River,river,3
Louisiana,19,Houma,Bayou Terrebonne,river,3
Louisiana,20,Thibodaux,Bayou Lafourche,river,3
Louisiana,21,Abbeville,Vermilion River,river,3
Louisiana,22,Monroe,Ouachita River,river,3
Louisiana,23,Shreveport,Red River,river,3
Louisiana,24,Lake Providence,Lake Providence,lake,3
Louisiana,25,Delcambre,Bayou Carlin,river,3
Texas,1,Galveston,Gulf of Mexico,gulf,1
Texas,2,Port Aransas,Gulf of Mexico,gulf,1
Texas,3,South Padre Island,Gulf of Mexico,gulf,1
Texas,4,Rockport,Aransas Bay,bay,1
Texas,5,New Braunfels,Comal River,river,1
Texas,6,Austin,Lady Bird Lake,reservoir,1
Texas,7,Kemah,Galveston Bay,bay,1
Texas,8,Corpus Christi,Corpus Christi Bay,bay,1
Texas,9,Granbury,Lake Granbury,reservoir,2
Texas,10,Wimberley,Blanco River,river,2
Texas,11,Marble Falls,Lake Marble Falls,reservoir,2
Texas,12,Uncertain,Caddo Lake,lake,2
Texas,13,Jefferson,Big Cypress Bayou,river,2
Texas,14,Concan,Frio River,river,2
Texas,15,San Marcos,San Marcos River,river,2
